"","Feature","Estimate","Q2.5","Q97.5","Response","Significant","income_group","exp_Estimate","exp_Q2.5","exp_Q97.5"
"1","Intercept",2.25305854808602,2.14223078302542,2.36116320745317,"Shannon",TRUE,"LMIC",9.51679895545874,8.51841919407933,10.6032780939301
"2","sex_num_Men",-0.0103261011493763,-0.0652741797339991,0.0431511217062077,"Shannon",FALSE,"LMIC",0.989727029996641,0.936810573688138,1.04409566844766
"3","regionEurope",-0.488406443070692,-0.656764765571599,-0.327333895848291,"Shannon",TRUE,"LMIC",0.613603427492286,0.518526177517476,0.720843016349596
"4","regionSouth_America",-0.581185211596938,-0.718882423900241,-0.450939776964933,"Shannon",TRUE,"LMIC",0.559235161624971,0.48729654273203,0.637029204854955
"5","age_categoryMiddle_Aged_Adult",0.261392093782458,0.0878268301718701,0.437332299360795,"Shannon",TRUE,"LMIC",1.29873679223572,1.091799039005,1.54857058058108
"6","age_categoryOlder_Adult",0.39810624659408,0.190731260208154,0.607855627557117,"Shannon",TRUE,"LMIC",1.48900222291816,1.21013419716654,1.83648905684246
"7","age_categoryToddler",0.462409919074871,0.183953996432407,0.751747942015038,"Shannon",TRUE,"LMIC",1.58789607872542,1.20196052735205,2.12070364580911
"8","age_categoryYoung_Adult",0.204990520689455,0.03860041753987,0.377504983907141,"Shannon",TRUE,"LMIC",1.22751342892704,1.03935509259935,1.45864071350608
"9","Usage_high",-0.109911532105288,-0.322970424074553,0.110016759639131,"Shannon",FALSE,"LMIC",0.895913391362246,0.723995266881303,1.11629677903328
"10","Intercept",2.21962288614572,1.96559686922187,2.47457036899035,"Shannon",TRUE,"HIC",9.20385930847912,7.13917247105369,11.8766034596984
"11","sex_num_Men",-0.0539786259082208,-0.0788595896255885,-0.0290912672948809,"Shannon",TRUE,"HIC",0.947452357219017,0.924169678346033,0.97132780995938
"12","regionEurope",-0.446252270129275,-0.700290723597917,-0.193364575675849,"Shannon",TRUE,"HIC",0.640022293187714,0.496440955708932,0.824181442852689
"13","regionNorth_America",-0.493342590487582,-0.748664733603312,-0.240362238827677,"Shannon",TRUE,"HIC",0.61058205362686,0.472997709213047,0.786342965515573
"14","regionOceania",-0.431517550219238,-0.686213868384703,-0.177118663923471,"Shannon",TRUE,"HIC",0.64952266317302,0.503478701614425,0.837680376184966
"15","age_categoryMiddle_Aged_Adult",0.182475642389273,0.147834881163624,0.216997104286721,"Shannon",TRUE,"HIC",1.20018491696054,1.15932145474851,1.24234050467066
"16","age_categoryOlder_Adult",0.369789905102424,0.320155176261278,0.421196408960325,"Shannon",TRUE,"HIC",1.44743048495691,1.37734147845498,1.5237835337592
"17","age_categoryToddler",0.189654995590088,0.122997185765273,0.255123406739964,"Shannon",TRUE,"HIC",1.20883247317241,1.13088123837776,1.29062088236134
"18","age_categoryYoung_Adult",0.111194602515946,0.0775827898304324,0.14431364927383,"Shannon",TRUE,"HIC",1.11761237587396,1.0806716973817,1.15524639389921
"19","Usage_high",0.322862620326567,0.275485629941661,0.372640453315922,"Shannon",TRUE,"HIC",1.38107560615663,1.31717017685054,1.45156234157038
"20","Intercept",6.56913403138186,6.40177328771425,6.73481934691145,"log_ARG",TRUE,"LMIC",712.752354637004,602.913229108907,841.191506516218
"21","sex_num_Men",0.00381833007757855,-0.0807168746110027,0.0856180721084571,"log_ARG",FALSE,"LMIC",1.00382562918705,0.922454824857234,1.08939018034628
"22","regionEurope",0.579707327426165,0.332437409316559,0.834189760997014,"log_ARG",TRUE,"LMIC",1.78551578277167,1.39436262234409,2.30294735438668
"23","regionSouth_America",-0.354499933426473,-0.560369602236003,-0.148730946159706,"log_ARG",TRUE,"LMIC",0.701524164294403,0.570997982712024,0.861800954565278
"24","age_categoryMiddle_Aged_Adult",-0.199047251244172,-0.463325871580431,0.0605600518324352,"log_ARG",FALSE,"LMIC",0.819511169495687,0.629187564750988,1.06243139660688
"25","age_categoryOlder_Adult",-0.218767252153385,-0.534574790945391,0.103405455366153,"log_ARG",FALSE,"LMIC",0.80350871131395,0.585918374982781,1.10894094399317
"26","age_categoryToddler",0.2522247213523,-0.167908794756533,0.676819713834495,"log_ARG",FALSE,"LMIC",1.28688519537498,0.845430938903068,1.96761020772956
"27","age_categoryYoung_Adult",-0.137609271250586,-0.395237284291989,0.122598066275448,"log_ARG",FALSE,"LMIC",0.871439121551766,0.673520204521613,1.1304299716955
"28","Usage_high",-0.0272166831018392,-0.354221517307524,0.279829658830408,"log_ARG",FALSE,"LMIC",0.97315035344008,0.701719507121609,1.32290444805263
"29","Intercept",6.66423224513518,6.3107546249573,7.00941527707696,"log_ARG",TRUE,"HIC",783.861420480337,550.460183111429,1107.00702323802
"30","sex_num_Men",-0.0829406472062086,-0.121184918991047,-0.044267636148984,"log_ARG",TRUE,"HIC",0.920405774253099,0.885870130235081,0.956697876270936
"31","regionEurope",-0.493439091555055,-0.848121404974868,-0.133150674983661,"log_ARG",TRUE,"HIC",0.610523134649823,0.428218626185189,0.875333191357643
"32","regionNorth_America",-0.361349228251286,-0.714531088274402,-0.0109967178615476,"log_ARG",TRUE,"HIC",0.696735636207016,0.489421553503372,0.989063525013469
"33","regionOceania",-0.613094938936018,-0.972404374693169,-0.256149490786786,"log_ARG",TRUE,"HIC",0.541671830914413,0.378172675305179,0.774026250349885
"34","age_categoryMiddle_Aged_Adult",-0.00820806724737757,-0.0582935776012102,0.0415676071484385,"log_ARG",FALSE,"HIC",0.991825526959253,0.943372953610429,1.04244363611081
"35","age_categoryOlder_Adult",0.0402891442497747,-0.0332106716875821,0.115756983273842,"log_ARG",FALSE,"HIC",1.04111176215522,0.967334748077294,1.12272299851069
"36","age_categoryToddler",-0.081620934270727,-0.189585478011769,0.019860678091274,"log_ARG",FALSE,"HIC",0.92162124752076,0.827301997745133,1.02005921352968
"37","age_categoryYoung_Adult",-0.0498867304994588,-0.0995122532641716,3.79820173015082e-05,"log_ARG",FALSE,"HIC",0.951337175884885,0.905278857179561,1.00003798273863
"38","Usage_high",0.415360832336316,0.341068128420803,0.490176302266503,"log_ARG",TRUE,"HIC",1.51491727322184,1.40644905675142,1.63260402637432
